version	phase	path	sha256
20170606113804	main	db/migrate/20170606113804_change_tag_search_index_to_btree.rb	b6645d0ed8862bb4edd83bf12d70fad98e87ed8594374a1a1b9d3cfe7f4e52fc
20170609145826	main	db/migrate/20170609145826_remove_default_language_from_statuses.rb	1d50b83af816551922cc44150827dd15476ea8b916fed693a0ad1c85ba5a9f5f
20170610000000	main	db/migrate/20170610000000_add_statuses_index_on_account_id_id.rb	a6bad87fa0a971e9cddf933ed3881cc8eda142c01d22ef54b9ea66388824af25
20170623152212	main	db/migrate/20170623152212_create_session_activations.rb	58f14af65bfa87f6eb71b95343f68eeb0e9d76521c8f5c8d1a0e82635f183d3a
20170624134742	main	db/migrate/20170624134742_add_description_to_session_activations.rb	02e689e4ab66c9a905209b67d037b5134e551e22702b2d87b698e834d6b3e81c
20170625140443	main	db/migrate/20170625140443_add_access_token_id_to_session_activations.rb	4f707d4df7566105de7a3b9eb3221276ab89926e4766690bb2b465f57ceb2f0d
20170711225116	main	db/migrate/20170711225116_fix_null_booleans.rb	403767177dccde7d050a053049d89ac69d97e7a746fba9cbf9df0b90bcca830c
20170713112503	main	db/migrate/20170713112503_make_tag_search_case_insensitive.rb	c9ed3ceb21d77a6efc55719a9f2ad6970e74ef9e859965fcc0736a79978793a4
20170713175513	main	db/migrate/20170713175513_create_web_push_subscriptions.rb	ce42537e4979eb66e8ded8c9b9dab9964be5db8c1f10248459feb0bca82db1fb
20170713190709	main	db/migrate/20170713190709_add_web_push_subscription_to_session_activations.rb	a8df86b6f2e1350eb9fd1a812c52eb48f33ff79db6dc2f6aad449426883f2e8b
20170714184731	main	db/migrate/20170714184731_add_domain_to_subscriptions.rb	7abc15c7b937848a168cd2ba5e7daee1b3078d23d8919b71408daba4a487c142
20170716191202	main	db/migrate/20170716191202_add_hide_notifications_to_mute.rb	fdf8b5c94aa14d7b130ead86946472beea6ed63d425ba15ab6edf7e735bfd379
20170718211102	main	db/migrate/20170718211102_add_activitypub_to_accounts.rb	a2d0b1be87f4ea650c5051e063a203ffc2570bef02fdec5c1fe31df97b29648f
20170720000000	main	db/migrate/20170720000000_add_index_favourites_on_account_id_and_id.rb	d2f52e256ff58b7dbe6cc36065b90799ef692571eda38760fa02cd145d21fdd5
20170823162448	main	db/migrate/20170823162448_create_status_pins.rb	acd1f404b67f0cd98e7794d1a9692623b4c3affb6822e9e13e407fce6f0e1e93
20170824103029	main	db/migrate/20170824103029_add_timestamps_to_status_pins.rb	f52f22764c0224ffc441405912c59930170003e00b0a70e82be726a9519d94a0
20170829215220	main	db/migrate/20170829215220_remove_status_pins_account_index.rb	d9b20c51528f319aac4c93c70124a58a2fb30e864003445e329c8a4c1551d0ee
20170901141119	main	db/migrate/20170901141119_truncate_preview_cards.rb	e8e955bc686a499b1bda167d4102d52bd1204ddd3d05b07b7f8584edb3451ffb
20170901142658	main	db/migrate/20170901142658_create_join_table_preview_cards_statuses.rb	da04a1d60f7bed422eba6ee4491f0a09ddaa1741d236bd9957c2fd1ecb3f1fbd
20170905044538	main	db/migrate/20170905044538_add_index_id_account_id_activity_type_on_notifications.rb	9af016ea2fc7c9f3606091ded979d768d346359db1d8f57f222d8a9c3fbf1669
20170905165803	main	db/migrate/20170905165803_add_local_to_statuses.rb	f90571caa6f1f4cbac09d4b545c1eb9d8a753824e8c3c33c3d7d485d55a080c0
20170913000752	main	db/migrate/20170913000752_create_site_uploads.rb	8d3b04166a8c87960a48ebed5b9bdb44342b34ae82ec447a966107294b43c3b4
20170917153509	main	db/migrate/20170917153509_create_custom_emojis.rb	3ebf456bd56119775268cef4516aabf0deacd6112e57e8477e3cd14fb896b7fd
20170918125918	main	db/migrate/20170918125918_ids_to_bigints.rb	c7e54d6693dd778f5759e0e427363bb4366c988faab589bc3e0ba2ad76596745
20170920024819	main	db/migrate/20170920024819_status_ids_to_timestamp_ids.rb	6dcfee5c34456d12d85e2b180ff5790d49961cead73faf672074bf5fb4aa7e4c
20170920032311	main	db/migrate/20170920032311_fix_reblogs_in_feeds.rb	347ad45ff23d69071063a1fdf8fe0dd586144b6498d08f8f78e6ef135da568c6
20170924022025	main	db/migrate/20170924022025_ids_to_bigints2.rb	a8be82aadb74796ba4ac75f4fc35dfac91f0bc89b37ac8c6d0c2ba15d18a6d90
20170927215609	main	db/migrate/20170927215609_add_description_to_media_attachments.rb	878b3461248d29e2332d238ca2df7b72fa04baf69dce54218e76804a079aa0e2
20170928082043	main	db/migrate/20170928082043_create_email_domain_blocks.rb	b89be113460edf8b99d8c5d5e92dac0d734409b6c8fc1ea8fbfad9a8f984f692
20171005102658	main	db/migrate/20171005102658_create_account_moderation_notes.rb	1dde9ba4612ca13040a0c1484baddaf5a08988fd26f77c8fb1d3b263f55d6dbe
20171005171936	main	db/migrate/20171005171936_add_disabled_to_custom_emojis.rb	9c9bb7e16fec2047b4cd3aa866700fdac385844671798fdf242283da417b8e0d
20171006142024	main	db/migrate/20171006142024_add_uri_to_custom_emojis.rb	2e5cb8f3e11987607ccc51791f38fb47cfbde97fa6b2e92b84eab48c33d2003e
20171010023049	main	db/migrate/20171010023049_add_foreign_key_to_account_moderation_notes.rb	3a393449184793ba7e3a97e7cbfb15ab830e7c1edd2d0d7707c93d49b29895ad
20171010025614	main	db/migrate/20171010025614_change_accounts_nonnullable_in_account_moderation_notes.rb	d1fa1b8deadba0bebd901066405bfbb832ef8ad9da263848791495e3bcde5618
20171020084748	main	db/migrate/20171020084748_add_visible_in_picker_to_custom_emoji.rb	94f2b929963527c396b07efec26878f43bb08ab982cb58dd6c9c4da7f541a5d7
20171028221157	main	db/migrate/20171028221157_add_reblogs_to_follows.rb	b96e390f3cd945a9a614499df2526b379c4c992b47d5ebdb75bcffcfbbbff35a
20171107143332	main	db/migrate/20171107143332_add_memorial_to_accounts.rb	b979bbc004e404bf96bf76afbdf045d6378ec73362e34b3515b910228a5dfcae
